line_no,line,sentiment,label,score
0,The Idiot,0,NEGATIVE,0.99978215
1,by Fyodor Dostoyevsky,1,POSITIVE,0.996388
2,Translated by Eva Martin,1,POSITIVE,0.894746
3,Contents,1,POSITIVE,0.99880856
4,PART I,1,POSITIVE,0.99740916
5,PART II,1,POSITIVE,0.9901951
6,PART III,1,POSITIVE,0.9923602
7,PART IV,1,POSITIVE,0.9905145
8,PART I,1,POSITIVE,0.99740916
9,I.,1,POSITIVE,0.992082
10,"Towards the end of November, during a thaw, at nine o’clock one",0,NEGATIVE,0.8530517
11,"morning, a train on the Warsaw and Petersburg railway was approaching",1,POSITIVE,0.58983296
12,the latter city at full speed.,1,POSITIVE,0.9971799
13,The morning was so damp and misty that,0,NEGATIVE,0.9977719
14,it was only with great difficulty that the day succeeded in breaking;,0,NEGATIVE,0.9868126
15,and it was impossible to distinguish anything more than a few yards,0,NEGATIVE,0.999175
16,away from the carriage windows.,1,POSITIVE,0.9672935
17,Some of the passengers by this particular train were returning from,0,NEGATIVE,0.8453805
18,"abroad; but the third-class carriages were the best filled, chiefly",1,POSITIVE,0.9982736
19,"with insignificant persons of various occupations and degrees, picked",0,NEGATIVE,0.99783045
20,up at the different stations nearer town.,1,POSITIVE,0.8277157
21,"All of them seemed weary, and",0,NEGATIVE,0.9997203
22,"most of them had sleepy eyes and a shivering expression, while their",0,NEGATIVE,0.9910034
23,complexions generally appeared to have taken on the colour of the fog,0,NEGATIVE,0.99252564
24,outside.,1,POSITIVE,0.8929375
25,"When day dawned, two passengers in one of the third-class carriages",1,POSITIVE,0.6351538
26,found themselves opposite each other.,0,NEGATIVE,0.9864484
27,"Both were young fellows, both",1,POSITIVE,0.9969853
28,"were rather poorly dressed, both had remarkable faces, and both were",0,NEGATIVE,0.9995502
29,evidently anxious to start a conversation.,0,NEGATIVE,0.9882562
30,"If they had but known why,",0,NEGATIVE,0.9971605
31,"at this particular moment, they were both remarkable persons, they",1,POSITIVE,0.99986637
32,would undoubtedly have wondered at the strange chance which had set,1,POSITIVE,0.8023967
33,them down opposite to one another in a third-class carriage of the,0,NEGATIVE,0.9895026
34,Warsaw Railway Company.,1,POSITIVE,0.953566
35,"One of them was a young fellow of about twenty-seven, not tall, with",1,POSITIVE,0.6641249
36,"black curling hair, and small, grey, fiery eyes.",1,POSITIVE,0.99492884
37,His nose was broad and,0,NEGATIVE,0.99481064
38,"flat, and he had high cheek bones; his thin lips were constantly",0,NEGATIVE,0.9979933
39,"compressed into an impudent, ironical—it might almost be called a",0,NEGATIVE,0.9655078
40,"malicious—smile; but his forehead was high and well formed, and atoned",1,POSITIVE,0.99759215
41,for a good deal of the ugliness of the lower part of his face.,0,NEGATIVE,0.9932795
42,A,1,POSITIVE,0.9872909
43,"special feature of this physiognomy was its death-like pallor, which",0,NEGATIVE,0.91257
44,gave to the whole man an indescribably emaciated appearance in spite of,0,NEGATIVE,0.9657091
45,"his hard look, and at the same time a sort of passionate and suffering",0,NEGATIVE,0.72421867
46,"expression which did not harmonize with his impudent, sarcastic smile",0,NEGATIVE,0.9987632
47,"and keen, self-satisfied bearing.",1,POSITIVE,0.9996346
48,He wore a large fur—or rather,0,NEGATIVE,0.66102946
49,"astrachan—overcoat, which had kept him warm all night, while his",0,NEGATIVE,0.9213284
50,neighbour had been obliged to bear the full severity of a Russian,0,NEGATIVE,0.971559
51,November night entirely unprepared.,0,NEGATIVE,0.9968013
52,His wide sleeveless mantle with a,0,NEGATIVE,0.8410422
53,large cape to it—the sort of cloak one sees upon travellers during the,0,NEGATIVE,0.89850485
54,winter months in Switzerland or North Italy—was by no means adapted to,0,NEGATIVE,0.9995731
55,"the long cold journey through Russia, from Eydkuhnen to St. Petersburg.",0,NEGATIVE,0.97547984
56,"The wearer of this cloak was a young fellow, also of about twenty-six",1,POSITIVE,0.59972775
57,"or twenty-seven years of age, slightly above the middle height, very",1,POSITIVE,0.98730093
58,"fair, with a thin, pointed and very light coloured beard; his eyes were",1,POSITIVE,0.9834634
59,"large and blue, and had an intent look about them, yet that heavy",0,NEGATIVE,0.6215631
60,expression which some people affirm to be a peculiarity as well as,1,POSITIVE,0.98644376
61,"evidence, of an epileptic subject.",1,POSITIVE,0.6831352
62,His face was decidedly a pleasant,1,POSITIVE,0.9998499
63,"one for all that; refined, but quite colourless, except for the",0,NEGATIVE,0.98231244
64,circumstance that at this moment it was blue with cold.,0,NEGATIVE,0.9981238
65,He held a,1,POSITIVE,0.9919514
66,bundle made up of an old faded silk handkerchief that apparently,0,NEGATIVE,0.9940664
67,"contained all his travelling wardrobe, and wore thick shoes and",1,POSITIVE,0.9548198
68,"gaiters, his whole appearance being very un-Russian.",0,NEGATIVE,0.99963915
69,"His black-haired neighbour inspected these peculiarities, having",1,POSITIVE,0.9364056
70,"nothing better to do, and at length remarked, with that rude enjoyment",1,POSITIVE,0.99382603
71,of the discomforts of others which the common classes so often show:,0,NEGATIVE,0.9928619
72,“Cold?”,0,NEGATIVE,0.999586
73,"“Very,” said his neighbour, readily, “and this is a thaw, too.",0,NEGATIVE,0.9958368
74,Fancy if,1,POSITIVE,0.9970434
75,it had been a hard frost!,1,POSITIVE,0.7385006
76,I never thought it would be so cold in the,1,POSITIVE,0.9920832
77,old country.,0,NEGATIVE,0.99745536
78,I’ve grown quite out of the way of it.,1,POSITIVE,0.9947897
79,”,1,POSITIVE,0.9255136
80,"“What, been abroad, I suppose?”",0,NEGATIVE,0.9951762
81,"“Yes, straight from Switzerland.”",1,POSITIVE,0.74242455
82,“Wheugh! my goodness!”,1,POSITIVE,0.9992154
83,"The black-haired young fellow whistled, and then",1,POSITIVE,0.97521013
84,laughed.,1,POSITIVE,0.99979997
85,The conversation proceeded.,1,POSITIVE,0.9961185
86,The readiness of the fair-haired young man,1,POSITIVE,0.998968
87,in the cloak to answer all his opposite neighbour’s questions was,0,NEGATIVE,0.98678905
88,surprising.,1,POSITIVE,0.99981004
89,He seemed to have no suspicion of any impertinence or,0,NEGATIVE,0.99808466
90,inappropriateness in the fact of such questions being put to him.,0,NEGATIVE,0.9996362
91,"Replying to them, he made known to the inquirer that he certainly had",1,POSITIVE,0.99557394
92,"been long absent from Russia, more than four years; that he had been",0,NEGATIVE,0.99489236
93,sent abroad for his health; that he had suffered from some strange,0,NEGATIVE,0.99392956
94,"nervous malady—a kind of epilepsy, with convulsive spasms.",0,NEGATIVE,0.99552816
95,His,1,POSITIVE,0.99199563
96,interlocutor burst out laughing several times at his answers; and more,0,NEGATIVE,0.9423296
97,"than ever, when to the question, “whether he had been cured?” the",0,NEGATIVE,0.9629619
98,patient replied:,1,POSITIVE,0.9760007
99,"“No, they did not cure me.”",0,NEGATIVE,0.99945784
100,“Hey! that’s it!,1,POSITIVE,0.9993599
101,"You stumped up your money for nothing, and we believe",0,NEGATIVE,0.9643549
102,"in those fellows, here!",1,POSITIVE,0.99613
103,"” remarked the black-haired individual,",1,POSITIVE,0.9785199
104,sarcastically.,0,NEGATIVE,0.9983452
105,"“Gospel truth, sir, Gospel truth!” exclaimed another passenger, a",1,POSITIVE,0.99452496
106,"shabbily dressed man of about forty, who looked like a clerk, and",0,NEGATIVE,0.9887298
107,possessed a red nose and a very blotchy face.,0,NEGATIVE,0.99553835
108,“Gospel truth!,1,POSITIVE,0.99782485
109,All they,1,POSITIVE,0.9716632
110,"do is to get hold of our good Russian money free, gratis, and for",0,NEGATIVE,0.6785366
111,nothing.,0,NEGATIVE,0.99963486
112,”,1,POSITIVE,0.9255136
113,"“Oh, but you’re quite wrong in my particular instance,” said the Swiss",0,NEGATIVE,0.9633647
114,"patient, quietly.",1,POSITIVE,0.99919
115,"“Of course I can’t argue the matter, because I know",1,POSITIVE,0.9873743
116,only my own case; but my doctor gave me money—and he had very little—to,0,NEGATIVE,0.9975316
117,"pay my journey back, besides having kept me at his own expense, while",0,NEGATIVE,0.61220354
118,"there, for nearly two years.",0,NEGATIVE,0.88045776
119,”,1,POSITIVE,0.9255136
120,“Why? Was there no one else to pay for you?” asked the black-haired,0,NEGATIVE,0.9992142
121,one.,1,POSITIVE,0.98823786
122,“No—Mr.,0,NEGATIVE,0.9966373
123,"Pavlicheff, who had been supporting me there, died a couple of",0,NEGATIVE,0.9986112
124,years ago.,0,NEGATIVE,0.93956524
125,I wrote to Mrs. General Epanchin at the time (she is a,1,POSITIVE,0.6698589
126,"distant relative of mine), but she did not answer my letter.",0,NEGATIVE,0.9994738
127,And so,1,POSITIVE,0.9747625
128,eventually I came back.,1,POSITIVE,0.98549956
129,”,1,POSITIVE,0.9255136
130,“And where have you come to?”,0,NEGATIVE,0.8896082
131,"“That is—where am I going to stay? I—I really don’t quite know yet, I—”",0,NEGATIVE,0.9954857
132,Both the listeners laughed again.,1,POSITIVE,0.9989359
133,"“I suppose your whole set-up is in that bundle, then?” asked the first.",0,NEGATIVE,0.9973145
134,"“I bet anything it is!” exclaimed the red-nosed passenger, with extreme",1,POSITIVE,0.9919536
135,"satisfaction, “and that he has precious little in the luggage",0,NEGATIVE,0.97312313
136,van!,1,POSITIVE,0.99289256
137,—though of course poverty is no crime—we must remember that!,1,POSITIVE,0.9957078
138,”,1,POSITIVE,0.9255136
139,It appeared that it was indeed as they had surmised.,1,POSITIVE,0.9963355
140,The young fellow,1,POSITIVE,0.9985893
141,hastened to admit the fact with wonderful readiness.,1,POSITIVE,0.9998653
142,"“Your bundle has some importance, however,” continued the clerk, when",1,POSITIVE,0.9611372
143,they had laughed their fill (it was observable that the subject of,1,POSITIVE,0.9952658
144,their mirth joined in the laughter when he saw them laughing); “for,1,POSITIVE,0.99595714
145,though I dare say it is not stuffed full of friedrichs d’or and louis,0,NEGATIVE,0.99051356
146,d’or—judge from your costume and gaiters—still—if you can add to your,0,NEGATIVE,0.61358184
147,possessions such a valuable property as a relation like Mrs. General,1,POSITIVE,0.9851396
148,"Epanchin, then your bundle becomes a significant object at once.",1,POSITIVE,0.99477047
149,That,1,POSITIVE,0.9894817
150,"is, of course, if you really are a relative of Mrs. Epanchin’s, and",1,POSITIVE,0.9881708
151,"have not made a little error through—well, absence of mind, which is",0,NEGATIVE,0.9823507
152,"very common to human beings; or, say—through a too luxuriant fancy?",0,NEGATIVE,0.97806144
153,”,1,POSITIVE,0.9255136
154,"“Oh, you are right again,” said the fair-haired traveller, “for I",1,POSITIVE,0.9998238
155,really am _almost_ wrong when I say she and I are related.,0,NEGATIVE,0.9989236
156,She is,1,POSITIVE,0.9983537
157,"hardly a relation at all; so little, in fact, that I was not in the",0,NEGATIVE,0.998393
158,least surprised to have no answer to my letter.,0,NEGATIVE,0.9994285
159,I expected as much.,0,NEGATIVE,0.9820998
160,”,1,POSITIVE,0.9255136
161,"“H’m! you spent your postage for nothing, then.",0,NEGATIVE,0.99952227
162,"H’m! you are candid,",1,POSITIVE,0.99915737
163,however—and that is commendable.,1,POSITIVE,0.99979603
164,H’m!,1,POSITIVE,0.99722457
165,Mrs. Epanchin—oh yes! a most,1,POSITIVE,0.9993864
166,eminent person.,1,POSITIVE,0.9996928
167,I know her.,1,POSITIVE,0.9996004
168,"As for Mr. Pavlicheff, who supported you in",1,POSITIVE,0.9986424
169,"Switzerland, I know him too—at least, if it was Nicolai Andreevitch of",0,NEGATIVE,0.74722934
170,that name?,0,NEGATIVE,0.9841893
171,A fine fellow he was—and had a property of four thousand,1,POSITIVE,0.99935013
172,souls in his day.,1,POSITIVE,0.99918485
173,”,1,POSITIVE,0.9255136
174,"“Yes, Nicolai Andreevitch—that was his name,” and the young fellow",1,POSITIVE,0.99833715
175,looked earnestly and with curiosity at the all-knowing gentleman with,1,POSITIVE,0.9988919
176,the red nose.,0,NEGATIVE,0.99308956
177,This sort of character is met with pretty frequently in a certain,1,POSITIVE,0.98784184
178,class.,1,POSITIVE,0.9987918
179,"They are people who know everyone—that is, they know where a man",0,NEGATIVE,0.77152365
180,"is employed, what his salary is, whom he knows, whom he married, what",0,NEGATIVE,0.9887952
181,"money his wife had, who are his cousins, and second cousins, etc., etc.",0,NEGATIVE,0.97824293
182,"These men generally have about a hundred pounds a year to live on, and",0,NEGATIVE,0.9531104
183,they spend their whole time and talents in the amassing of this style,1,POSITIVE,0.9979549
184,"of knowledge, which they reduce—or raise—to the standard of a science.",1,POSITIVE,0.96857524
185,During the latter part of the conversation the black-haired young man,1,POSITIVE,0.9546906
186,had become very impatient.,0,NEGATIVE,0.9994888
187,"He stared out of the window, and fidgeted,",1,POSITIVE,0.7342541
188,and evidently longed for the end of the journey.,0,NEGATIVE,0.9841153
189,He was very absent; he,0,NEGATIVE,0.9995947
190,would appear to listen—and heard nothing; and he would laugh of a,0,NEGATIVE,0.9822258
191,"sudden, evidently with no idea of what he was laughing about.",0,NEGATIVE,0.9997677
192,"“Excuse me,” said the red-nosed man to the young fellow with the",0,NEGATIVE,0.8818409
