line_no,line,sentiment,label,score
0,The Idiot,4,5 stars,0.32907286
1,by Fyodor Dostoyevsky,4,5 stars,0.3464585
2,Translated by Eva Martin,3,4 stars,0.28998223
3,Contents,2,3 stars,0.27653444
4,PART I,4,5 stars,0.31488937
5,PART II,3,4 stars,0.30741972
6,PART III,3,4 stars,0.3092772
7,PART IV,4,5 stars,0.31174204
8,PART I,4,5 stars,0.31488937
9,I.,3,4 stars,0.28804576
10,"Towards the end of November, during a thaw, at nine o’clock one",0,1 star,0.61651886
11,"morning, a train on the Warsaw and Petersburg railway was approaching",0,1 star,0.3187175
12,the latter city at full speed.,4,5 stars,0.5420315
13,The morning was so damp and misty that,1,2 stars,0.456889
14,it was only with great difficulty that the day succeeded in breaking;,2,3 stars,0.3441309
15,and it was impossible to distinguish anything more than a few yards,0,1 star,0.52579105
16,away from the carriage windows.,0,1 star,0.38428983
17,Some of the passengers by this particular train were returning from,0,1 star,0.390828
18,"abroad; but the third-class carriages were the best filled, chiefly",2,3 stars,0.45848364
19,"with insignificant persons of various occupations and degrees, picked",1,2 stars,0.29662955
20,up at the different stations nearer town.,3,4 stars,0.31188384
21,"All of them seemed weary, and",1,2 stars,0.44054914
22,"most of them had sleepy eyes and a shivering expression, while their",1,2 stars,0.48731506
23,complexions generally appeared to have taken on the colour of the fog,2,3 stars,0.5128591
24,outside.,2,3 stars,0.27260718
25,"When day dawned, two passengers in one of the third-class carriages",0,1 star,0.35390672
26,found themselves opposite each other.,1,2 stars,0.33584154
27,"Both were young fellows, both",2,3 stars,0.27755904
28,"were rather poorly dressed, both had remarkable faces, and both were",1,2 stars,0.5925602
29,evidently anxious to start a conversation.,2,3 stars,0.38194412
30,"If they had but known why,",2,3 stars,0.4469005
31,"at this particular moment, they were both remarkable persons, they",4,5 stars,0.769972
32,would undoubtedly have wondered at the strange chance which had set,2,3 stars,0.36708364
33,them down opposite to one another in a third-class carriage of the,1,2 stars,0.32558447
34,Warsaw Railway Company.,4,5 stars,0.3547868
35,"One of them was a young fellow of about twenty-seven, not tall, with",1,2 stars,0.34402862
36,"black curling hair, and small, grey, fiery eyes.",2,3 stars,0.27744436
37,His nose was broad and,1,2 stars,0.34589002
38,"flat, and he had high cheek bones; his thin lips were constantly",1,2 stars,0.53317815
39,"compressed into an impudent, ironical—it might almost be called a",0,1 star,0.41422948
40,"malicious—smile; but his forehead was high and well formed, and atoned",1,2 stars,0.36579666
41,for a good deal of the ugliness of the lower part of his face.,2,3 stars,0.47185743
42,A,3,4 stars,0.31870726
43,"special feature of this physiognomy was its death-like pallor, which",3,4 stars,0.42689857
44,gave to the whole man an indescribably emaciated appearance in spite of,0,1 star,0.65446013
45,"his hard look, and at the same time a sort of passionate and suffering",3,4 stars,0.43466425
46,"expression which did not harmonize with his impudent, sarcastic smile",1,2 stars,0.44237855
47,"and keen, self-satisfied bearing.",4,5 stars,0.62229365
48,He wore a large fur—or rather,2,3 stars,0.3338935
49,"astrachan—overcoat, which had kept him warm all night, while his",2,3 stars,0.3076273
50,neighbour had been obliged to bear the full severity of a Russian,0,1 star,0.37919357
51,November night entirely unprepared.,0,1 star,0.7014589
52,His wide sleeveless mantle with a,3,4 stars,0.3752826
53,large cape to it—the sort of cloak one sees upon travellers during the,3,4 stars,0.44108984
54,winter months in Switzerland or North Italy—was by no means adapted to,1,2 stars,0.35756412
55,"the long cold journey through Russia, from Eydkuhnen to St. Petersburg.",4,5 stars,0.50631034
56,"The wearer of this cloak was a young fellow, also of about twenty-six",0,1 star,0.30968094
57,"or twenty-seven years of age, slightly above the middle height, very",1,2 stars,0.34843126
58,"fair, with a thin, pointed and very light coloured beard; his eyes were",3,4 stars,0.54253715
59,"large and blue, and had an intent look about them, yet that heavy",2,3 stars,0.4061463
60,expression which some people affirm to be a peculiarity as well as,2,3 stars,0.3519976
61,"evidence, of an epileptic subject.",0,1 star,0.29147264
62,His face was decidedly a pleasant,3,4 stars,0.42931813
63,"one for all that; refined, but quite colourless, except for the",2,3 stars,0.4105227
64,circumstance that at this moment it was blue with cold.,1,2 stars,0.34228432
65,He held a,3,4 stars,0.36560002
66,bundle made up of an old faded silk handkerchief that apparently,2,3 stars,0.28204173
67,"contained all his travelling wardrobe, and wore thick shoes and",4,5 stars,0.45032912
68,"gaiters, his whole appearance being very un-Russian.",1,2 stars,0.42417252
69,"His black-haired neighbour inspected these peculiarities, having",3,4 stars,0.32588986
70,"nothing better to do, and at length remarked, with that rude enjoyment",1,2 stars,0.30481753
71,of the discomforts of others which the common classes so often show:,2,3 stars,0.3133227
72,“Cold?”,2,3 stars,0.2894349
73,"“Very,” said his neighbour, readily, “and this is a thaw, too.",4,5 stars,0.36294553
74,Fancy if,2,3 stars,0.3643702
75,it had been a hard frost!,1,2 stars,0.34441978
76,I never thought it would be so cold in the,1,2 stars,0.34104195
77,old country.,4,5 stars,0.35200572
78,I’ve grown quite out of the way of it.,2,3 stars,0.34829062
79,”,4,5 stars,0.30857787
80,"“What, been abroad, I suppose?”",0,1 star,0.304455
81,"“Yes, straight from Switzerland.”",0,1 star,0.3290637
82,“Wheugh! my goodness!”,4,5 stars,0.79122734
83,"The black-haired young fellow whistled, and then",0,1 star,0.41782162
84,laughed.,0,1 star,0.33584192
85,The conversation proceeded.,3,4 stars,0.4569746
86,The readiness of the fair-haired young man,3,4 stars,0.41417882
87,in the cloak to answer all his opposite neighbour’s questions was,4,5 stars,0.45496163
88,surprising.,4,5 stars,0.51913744
89,He seemed to have no suspicion of any impertinence or,1,2 stars,0.38664752
90,inappropriateness in the fact of such questions being put to him.,0,1 star,0.54661876
91,"Replying to them, he made known to the inquirer that he certainly had",0,1 star,0.3906719
92,"been long absent from Russia, more than four years; that he had been",0,1 star,0.41415122
93,sent abroad for his health; that he had suffered from some strange,2,3 stars,0.33910462
94,"nervous malady—a kind of epilepsy, with convulsive spasms.",1,2 stars,0.39697644
95,His,4,5 stars,0.32745382
96,interlocutor burst out laughing several times at his answers; and more,0,1 star,0.5243226
97,"than ever, when to the question, “whether he had been cured?” the",4,5 stars,0.389882
98,patient replied:,0,1 star,0.39350963
99,"“No, they did not cure me.”",0,1 star,0.5517913
100,“Hey! that’s it!,4,5 stars,0.50702924
101,"You stumped up your money for nothing, and we believe",0,1 star,0.68629646
102,"in those fellows, here!",4,5 stars,0.6706411
103,"” remarked the black-haired individual,",0,1 star,0.43510115
104,sarcastically.,0,1 star,0.37657043
105,"“Gospel truth, sir, Gospel truth!” exclaimed another passenger, a",4,5 stars,0.47166747
106,"shabbily dressed man of about forty, who looked like a clerk, and",1,2 stars,0.33591425
107,possessed a red nose and a very blotchy face.,1,2 stars,0.4079219
108,“Gospel truth!,4,5 stars,0.6156894
109,All they,4,5 stars,0.41020796
110,"do is to get hold of our good Russian money free, gratis, and for",4,5 stars,0.37719548
111,nothing.,0,1 star,0.6525433
112,”,4,5 stars,0.30857787
113,"“Oh, but you’re quite wrong in my particular instance,” said the Swiss",2,3 stars,0.39442217
114,"patient, quietly.",4,5 stars,0.44907206
115,"“Of course I can’t argue the matter, because I know",2,3 stars,0.3082426
